"feedback","translation"
"Víš, co znamená o jeden více?","Do you know what “one more” means?"
"V červeném má být o dva více než v modrém.","There should be two more in the red than in the blue."
"Když to není člověk, tak co to může být?","If it’s not a person, what could it be?"
"Co znamená všechny za prvním?","What does “everyone after the first one” mean?"
"V šedém rámečku je pět obrázků. Kde je o jeden obrázek méně?","There are five pictures in the gray box. Where is there one picture less?"
"Podle čeho se obrázky střídají?","How do the pictures alternate?"
"Je to člověk, nemá čepici a sedí.","It is a person, doesn’t have a hat, and is sitting."
"Když sedí, tak co to znamená?","If it’s sitting, what does that mean?"
"Když v modrém má být o dva více, tak v červeném musí být kolik?","If there are supposed to be two more in the blue one, how many have to be in the red one?"
"V červeném má být o dva méně než v modrém.","There should be two fewer in the red one than in the blue one."
"Najdi mašinku se zvukem čísla jedna. Víš určitě, že má vagónky s jedním obrázkem a s číslem jedna?","Find the train that makes the sound for number one. Are you sure it has carriages with one picture and the number one?"
"Hned před třetím.","Right before the third one."
"Všechny mezi pavučinou a psem.","All the ones between the spiderweb and the dog."
"Krokodýli, kteří jsou ve vodě.","The crocodiles that are in the water."
"Co znamená všechny mezi pavoukem a jahodou?","What does “all the ones between the spider and the strawberry” mean?"
"V šedém rámečku je osm obrázků. Kde je o jeden obrázek méně?","There are eight pictures in the gray box. Where is there one picture less?"
"V šedém rámečku jsou tři obrázky. Kde je o jeden obrázek méně?","There are three pictures in the gray box. Where is there one picture less?"
"Je to člověk, má čepici a nestojí.","It’s a person, has a hat, and isn’t standing."
"Není to člověk, má čepici a stojí.","It’s not a person, it has a hat, and it’s standing."
"Hned za třetím obrázkem.","Right after the third picture."
"Nahoře uprostřed.","At the top in the middle."
"Mají peří.","They have feathers."
"Počítáš všechny obrázky? Vybral jsi správné číslo?","Are you counting all the pictures? Did you pick the right number?"
"Co znamená všechny mezi jablkem a zmrzlinou?","What does “all between the apple and the ice cream” mean?"
"Všechny mezi brokolicí a balónkem.","All between the broccoli and the balloon."
"Co znamená všechny mezi vejcem a bonbónem?","What does “all between the egg and the candy” mean?"
"Všechny mezi brokolicí a autobusem.","All between the broccoli and the bus."
"Víš, co znamená nahoře uprostřed?","Do you know what “at the top in the middle” means?"
"Nahoře uprostřed znamená, že něco je úplně nahoře a přesně uprostřed.","At the very top in the middle means something is all the way at the top and exactly in the middle."
"Všechny mezi rostlinou a zmrzlinou.","All the ones between the plant and the ice cream."
